,0,4.40E-02,5.50E-02,6.87E-02,0.085899346,0.107374182,0.134217728,0.16777216,0.2097152,0.262144,0.32768,0.4096,0.512,0.64,0.8,1
1,13.63636364,10.42889694,9.849699576,9.210,8.519028275,7.788342957,7.034182172,6.274693332,5.52853974,4.813103489,4.142942126,3.528773073,2.977099237,2.490421456,2.067868505,1.706036745
0.8,13.33333333,10.25072403,9.690616802,9.071,8.399765213,7.688541296,6.952671574,6.20975284,5.478063586,4.774800805,4.114531682,3.508140685,2.962400304,2.480127186,2.060766182,1.701199564
0.64,12.97297297,10.03639014,9.49884663,8.903,8.255301475,7.56732937,6.853401882,6.130443386,5.416249916,4.727771292,4.079561918,3.482687027,2.944229499,2.46737841,2.051956593,1.695191524
0.512,12.54901961,9.780756071,9.269549675,8.701,8.08156258,7.421085111,6.733231206,6.034110642,5.340917253,4.670271358,4.036676832,3.451384702,2.921827078,2.451625577,2.041049963,1.687740888
0.4096,12.05651491,9.478961128,8.998039979,8.461,7.874409161,7.246041204,6.588817051,5.917870137,5.249647933,4.600333834,3.984321949,3.413039287,2.89429895,2.432215157,2.027578644,1.678519191
0.32768,11.49270483,9.12693531,8.680229701,8.179793427,7.629937917,7.038516068,6.416783313,5.778719297,5.139856123,4.515803385,3.920757655,3.366289297,2.860609742,2.408380121,2.010987517,1.66713282
0.262144,10.85800124,8.722040788,8.313202386,7.853069752,7.34489806,6.795247931,6.213975028,5.613720344,5.008909894,4.414410711,3.844098622,3.309622494,2.819585302,2.37923531,1.990626569,1.653115269
0.2097152,10.15684087,8.263787008,7.895874489,7.479623569,7.017211112,6.513830752,5.977807462,5.420265263,4.854320225,4.293897884,3.752389763,3.241416564,2.76993031,2.343781465,1.96574794,1.635921369
0.16777216,9.398222728,7.75451193,7.429657727,7.059960408,6.64654787,6.193224397,5.706697417,5.196422115,4.674003386,4.152204589,3.643728975,3.160013157,2.71026802,2.300922861,1.935510693,1.614925505
0.134217728,8.595702542,7.199875598,6.918987863,6.59726514,6.23487456,5.834275516,5.40053593,4.941341115,4.46660954,3.98771744,3.516443581,3.063833569,2.639209691,2.249504552,1.898997582,1.589426583
0.107374182,7.766698426,6.608995559,6.371559635,6.097724736,5.786843307,5.440148204,5.061127221,4.655670271,4.231888986,3.799570255,3.36931919,2.951540542,2.555460254,2.188375511,1.855248852,1.558663372
0.085899346,6.931117387,5.994091053,5.79812706,5.570483259,5.309889736,5.016540424,4.692489759,4.341900594,3.971040983,3.58796265,3.201865721,2.822242496,2.457962791,2.116482702,1.803318241,1.521844416
0.068719477,6.10950301,5.36960265,5.211806766,5.027141735,4.813932333,4.571572393,4.300908061,4.004542112,3.686966361,3.354441094,3.014586434,2.675723334,2.346076626,2.032997323,1.742355018,1.478196714
0.054975581,5.32105583,4.750893738,4.626947013,4.48082106,4.310650038,4.115288826,3.894653805,3.650039578,3.384336602,3.102069431,2.809196672,2.5126644,2.219771942,1.937467256,1.671712348,1.427036061
0.043980465,4.581920028,4.152768706,4.057754461,3.944930751,3.812427593,3.658811439,3.483365107,3.286380572,3.069411298,2.835415976,2.58872772,2.334809872,2.079809704,1.829979379,1.591075904,1.367858764